               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.017977,           0.0065975,                   0,             0.96736,             0.97917,             0.97586,              0.7997,           0.0041481,           0.0033894,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.017049,           0.0069966,                   0,             0.92671,             0.92708,             0.95727,             0.78234,           0.0042633,           0.0033806,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.016885,           0.0066914,                   0,             0.94889,             0.96694,              0.9672,             0.77955,            0.004237,           0.0033527,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.016693,              0.0066,                   0,             0.95676,             0.95833,             0.96794,              0.7947,           0.0043843,           0.0033076,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.016723,           0.0063675,                   0,              0.9475,             0.95833,             0.96516,             0.80394,            0.004261,           0.0032054,                   0,            0.004258,            0.004258,            0.004258
                 118,             0.01786,           0.0066955,                   0,             0.95806,             0.96875,             0.97403,             0.79285,           0.0044504,           0.0032881,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.017303,           0.0067038,                   0,             0.96829,             0.95421,             0.96932,             0.78415,           0.0046853,           0.0034506,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.017505,           0.0067283,                   0,             0.92757,             0.93389,             0.96586,             0.73004,           0.0053453,           0.0044021,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.017631,           0.0068889,                   0,             0.95917,             0.97889,             0.97313,             0.80223,           0.0043185,           0.0031889,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.016943,           0.0063093,                   0,             0.94571,             0.97917,             0.96759,             0.79978,           0.0043712,           0.0031541,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.017324,           0.0066767,                   0,             0.94774,             0.96875,             0.96094,             0.79658,           0.0048113,           0.0036024,                   0,            0.003961,            0.003961,            0.003961
